,Title,Listed count,Author
315,The Confessions of Jean-Jacques Rousseau,7.0,Jean-Jacques Rousseau
316,The Complete Works of Plato,7.0,Plato
317,The Adventures of Oliver Twist,7.0,Charles Dickens
318,War of the Worlds,7.0,H. G. Wells
319,The Rainbow,7.0,D. H. Lawrence
320,The Counterfeiters,7.0,André Gide
321,The Good Soldier Svejk,7.0,Jaroslav Hašek
322,The French Lieutenant's Woman ,7.0,John Fowles
323,I Know Why the Caged Bird Sings,7.0,Maya Angelou
324,The Name of the Rose,7.0,Umberto Eco
325,Watchmen ,7.0,Alan Moore
326,Half of a Yellow Sun,7.0,Chimamanda Ngozi Adichie
327,The Joy Luck Club,7.0,Amy Tan
328,The Fountainhead,7.0,Ayn Rand
329,The Essential Writings of Ralph Waldo Emerson,7.0,Ralph Waldo Emerson
330,The Civil War,7.0,Shelby Foote
331,Leviathan,7.0,Thomas Hobbes
332,Finnegans Wake,7.0,James Joyce
333,The Day of the Locust ,7.0,Nathanael West
334,The Quran,7.0,Various Authors
335,Pilgrim's Progress ,7.0,John Bunyan
336,Le Morte d'Arthur,7.0,Thomas Malory
337,His Dark Materials,7.0,Philip Pullman
338,Americanah,7.0,Chimamanda Ngozi Adichie
339,At Swim Two-Birds,7.0,Flann O'Brien
340,Principia Mathematica,7.0,Issac Newton
341,Dream of the Red Chamber,6.0,Cao Xueqin
342,The Da Vinci Code,6.0,Dan Brown
343,Harry Potter and the Order of the Phoenix,6.0,J. K. Rowling
344,The Kite Runner,6.0,Khaled Hosseini
345,Where the Wild Things Are,6.0,Maurice Sendak
346,Life After Life,6.0,Raymond Moody
347,"Cry, the Beloved Country",6.0,"Paton, Alan"
348,The Mill on the Floss,6.0, George Eliot
349,Another Country,6.0, James Baldwin
350,The Art of War,6.0, Sun-Tzu
351,A Christmas Carol,6.0, Charles Dickens
352,Silas Marner,6.0, George Eliot
353,Zen and the Art of Motorcycle Maintenance,6.0, Robert Pirsig
354,The Magus,6.0, John Fowles
355,Berlin Alexanderplatz,6.0,Alfred Döblin
356,A Sentimental Education,6.0,Gustave Flaubert
357,Molloy,6.0,Samuel Beckett
358,Malone Dies,6.0,Samuel Beckett
359,A Season in Hell,6.0,Arthur Rimbaud
360,If This Is a Man,6.0,Primo Levi
361,The Poems of Robert Frost,6.0,Robert Frost
362,"So Long, See You Tomorrow",6.0,William Maxwell
363,The Long Goodbye: A Novel,6.0,Raymond Chandler
364,Through the Looking Glass,6.0,Lewis Carroll
365,Dispatches,6.0,Michael Herr
366,"Speak, Memory",6.0,Vladimir Nabokov
367,The Waves,6.0,Virginia Woolf
368,Electra,6.0,Sophocles
369,Lysistrata,6.0,Aristophanes
370,The Complete Poetry and Prose of William Blake,6.0,William Blake
371,The Last of the Mohicans,6.0,James Fenimore Cooper
372,The Hunchback of Notre-Dame,6.0,Victor Hugo
373,The Woman in White,6.0,Wilkie Collins
374,Of Human Bondage ,6.0,W. Somerset Maugham
375,Babbitt,6.0,Sinclair Lewis
376,Siddhartha,6.0,Hermann Hesse
377,Cold Comfort Farm,6.0,Stella Gibbons
378,Out of Africa,6.0,Isak Dinesen
