,Title,Listed count
423,Sister Carrie,5.0
424,Ironweed,5.0
425,Cat's Cradle,5.0
426,Persuasion,5.0
427,Lost Illusions,5.0
428,A Fine Balance,5.0
429,The Secret Agent,5.0
430,Murphy,5.0
431,Blindness,5.0
432,Confessions of Zeno,5.0
433,Memoirs of Hadrian,5.0
434,Nine Stories,5.0
435,Henderson The Rain King,5.0
436,Selected Stories of Alice Munro,5.0
437,A Good Man Is Hard to Find,5.0
438,A Handful of Dust ,5.0
439,The Collected Stories of Eudora Welty,5.0
440,Our Mutual Friend,5.0
441,The Man Who Loved Children ,5.0
442,The Snow Leopard,5.0
443,The Life of Samuel Johnson,5.0
444,"Jimmy Corrigan, the Smartest Kid on Earth",5.0
445,The Poems of John Keats,5.0
446,Prometheus Bound,5.0
447,The Birds,5.0
448,Man's Fate,5.0
449,Journey to the West,5.0
450,The Sorrows of Young Werther,5.0
451,The Moonstone,5.0
452,Germinal,5.0
453,Death in Venice,5.0
454,The Power and the Glory,5.0
455,Loving,5.0
456,Foundation,5.0
457,The Talented Mr. Ripley,5.0
458,Labyrinths,5.0
459,The Crying of Lot 49 ,5.0
460,The Shining,5.0
461,Schindler's List,5.0
462,American Psycho,5.0
463,Regeneration,5.0
464,The God of Small Things,5.0
465,The Savage Detectives,5.0
466,The Sense of an Ending,5.0
467,Bastard Out of Carolina,5.0
468,The Killer Angels,5.0
469,The Adventures of Tom Sawyer,5.0
470,Cold Mountain,5.0
471,The Mayor of Casterbridge,5.0
472,Homage to Catalonia,5.0
473,Six Characters in Search of an Author,5.0
474,Pragmatism,5.0
475,Meditations,5.0
476,The Sonnets,5.0
477,Black Boy,5.0
478,Three Sisters,5.0
479,The Turn of the Screw,5.0
480,The Wonderful Wizard of Oz,5.0
481,Hiroshima,5.0
482,Quotations from Chairman Mao,5.0
483,Dialogue Concerning the Two Chief World Systems,5.0
484,The Federalist Papers,5.0
485,The Rime of the Ancient Mariner,5.0
486,The Way We Live Now,5.0
487,The Cherry Orchard,5.0
488,Small Island,5.0
489,The Death of the Heart ,5.0
490,The Alchemist,5.0
491,A Heartbreaking Work of Staggering Genius,5.0
492,Bel Canto,5.0
493,The Sheltering Sky ,5.0
494,Billy Lynn's Long Halftime Walk: A Novel,5.0
495,The Plot Against America,5.0
496,True History of the Kelly Gang,5.0
497,JR,5.0
498,Harry Potter And The Prisoner Of Azkaban,5.0
499,Harry Potter And The Chamber Of Secrets,5.0
500,The Confessions of Nat Turner,5.0
501,Nickel And Dimed,5.0
502,What We Talk About When We Talk About Love,5.0
503,And Then There Were None,4.0
504,The Common Sense Book of Baby and Child Care,4.0
505,Anne of Green Gables,4.0
506,The Tale of Peter Rabbit,4.0
507,The Thorn Birds,4.0
508,The Great Gatsby,4.0
509,The Fault in Our Stars,4.0
510,Things Fall Apart,4.0
511,The Outsiders,4.0
512,How to Win Friends and Influence People,4.0
513,Roots,4.0
514,Tarzan of the Apes,4.0
515,Of Human Bondage,4.0
516,Them,4.0
517,The Code of the Woosters,4.0
518,Barchester Towers,4.0
519,The Betrothed,4.0
520,The Forsyte Saga,4.0
521,Perfume,4.0
522,The Razor's Edge,4.0
523,The Return of the Native,4.0
524,Arrowsmith,4.0
525,Suttree,4.0
526,The Famished Road,4.0
527,Independent People,4.0
528,The Book of Disquiet,4.0
529,Pedro Paramo,4.0
530,The Unnamable,4.0
531,Stories of Guy de Maupassant,4.0
532,The Princess of Cleves,4.0
533,The Sot-Weed Factor ,4.0
534,In Our Time,4.0
535,Darkness at Noon,4.0
536,Collected Poems of Dylan Thomas,4.0
537,Parade's End,4.0
538,Cousin Bette,4.0
